run_id,node_id,name,step,value,ts
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,47,0.08750555348152302,2026-08-04T15:23:46.549133Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,48,0.0869815547489305,2026-08-04T15:23:53.052696Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,49,0.0864484313710706,2026-08-04T15:23:59.058620Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,50,0.08590631488815947,2026-08-04T15:24:05.557097Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,51,0.08535533905932739,2026-08-04T15:24:11.559150Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,52,0.08479563982961573,2026-08-04T15:24:18.049806Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,53,0.08422735529643445,2026-08-04T15:24:24.064173Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,54,0.08365062567548867,2026-08-04T15:24:30.564077Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,55,0.0830655932661826,2026-08-04T15:24:37.070385Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,56,0.08247240241650919,2026-08-04T15:24:43.070405Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,57,0.08187119948743449,2026-08-04T15:24:49.577036Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,58,0.08126213281678525,2026-08-04T15:24:56.070534Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,59,0.08064535268264883,2026-08-04T15:25:02.138541Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,60,0.0800210112662942,2026-08-04T15:25:08.661695Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,61,0.07938926261462366,2026-08-04T15:25:15.177170Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,62,0.07875026260216393,2026-08-04T15:25:21.198258Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,63,0.07810416889260655,2026-08-04T15:25:27.689337Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,64,0.0774511408999066,2026-08-04T15:25:34.193818Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,65,0.07679133974894983,2026-08-04T15:25:40.214043Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,66,0.07612492823579745,2026-08-04T15:25:46.706761Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,67,0.07545207078751857,2026-08-04T15:25:53.215108Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,68,0.07477293342162039,2026-08-04T15:25:59.266969Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,69,0.07408768370508577,2026-08-04T15:26:05.767305Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,70,0.07339649071302869,2026-08-04T15:26:11.771204Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,71,0.07269952498697735,2026-08-04T15:26:18.325581Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,72,0.07199695849279576,2026-08-04T15:26:24.841080Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,73,0.07128896457825365,2026-08-04T15:26:30.837003Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,74,0.07057571793025547,2026-08-04T15:26:37.335368Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,75,0.06985739453173904,2026-08-04T15:26:43.330394Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,76,0.06913417161825451,2026-08-04T15:26:49.837555Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,77,0.06840622763423393,2026-08-04T15:26:55.828330Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,78,0.06767374218896288,2026-08-04T15:27:02.331321Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,79,0.0669368960122646,2026-08-04T15:27:08.332879Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,80,0.0661958709099075,2026-08-04T15:27:14.832705Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,81,0.0654508497187474,2026-08-04T15:27:20.893779Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,82,0.06470201626161523,2026-08-04T15:27:27.416440Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,83,0.0639495553019615,2026-08-04T15:27:33.907751Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,84,0.06319365249826867,2026-08-04T15:27:39.920047Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,85,0.062434494358242755,2026-08-04T15:27:46.409353Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,86,0.0616722681927953,2026-08-04T15:27:52.920352Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,87,0.060907162069827166,2026-08-04T15:27:59.410303Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,88,0.060139364767825665,2026-08-04T15:28:05.927510Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,89,0.059369065729286276,2026-08-04T15:28:12.453461Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,90,0.058596455013970504,2026-08-04T15:28:18.980160Z
75ff1d3217ee41fabd6b257b49bd0f3e,train,lr,91,0.05782172325201158,2026-08-04T15:28:24.980544Z
